routeStationId	latitude	longitude	index
a8b3895c-2f83-436e-92b9-d79d72b2d549	12.924206	100.87203	4
a8b3895c-2f83-436e-92b9-d79d72b2d549	12.923998	100.86923	14
b5d290ec-8baa-4b7a-ad37-921199a973bc	12.926155	100.875327	0
4c4d9aa0-be42-4ce1-945f-a1fa0a017d5d	12.941052	100.888969	3
25c796ae-8c2a-45e6-ba21-09b30e6788b9	12.938472	100.898765	0
850fb373-2514-4c2e-8055-87bfb52c4bc6	12.928614	100.884676	8
850fb373-2514-4c2e-8055-87bfb52c4bc6	12.929114	100.88529	5
850fb373-2514-4c2e-8055-87bfb52c4bc6	12.929493	100.886417	3
f19836b0-5857-425e-8743-4f53eb6f2059	12.919541	100.893654	8
1b70c501-0c87-4b9f-a3ec-3af46283dc4c	12.916756	100.899558	11
a8b3895c-2f83-436e-92b9-d79d72b2d549	12.92457	100.8714	7
5064930b-a65b-4ac0-9853-b4ff924f67dc	12.923067	100.903052	2
25c796ae-8c2a-45e6-ba21-09b30e6788b9	12.940388	100.898288	2
5064930b-a65b-4ac0-9853-b4ff924f67dc	12.911991	100.901931	4
850fb373-2514-4c2e-8055-87bfb52c4bc6	12.927444	100.883523	10
f8726964-4463-4ae2-af8e-61b0686f68b8	12.922804	100.891745	7
ef93960a-e6a2-49eb-a3eb-44419803f074	12.918051	100.896838	3
f8726964-4463-4ae2-af8e-61b0686f68b8	12.925892	100.890534	14
1b70c501-0c87-4b9f-a3ec-3af46283dc4c	12.915206	100.899688	9
5064930b-a65b-4ac0-9853-b4ff924f67dc	12.923111	100.904008	1
a8b3895c-2f83-436e-92b9-d79d72b2d549	12.923891	100.868429	18
a8b3895c-2f83-436e-92b9-d79d72b2d549	12.924455	100.870924	9
